-83.334670	-80.652444	14.514873
-78.095631	-75.495823	17.016064
-72.723110	-70.242245	19.518237
-67.215711	-64.869977	22.022177
-61.734622	-59.433743	24.528802
-59.646222	-57.278924	25.532044
-57.647263	-55.131126	26.534890
-55.590291	-52.878496	27.535705
-52.803261	-50.121835	28.530688
-48.084331	-46.052997	29.510877
-41.506750	-40.280964	30.455380
-36.184253	-35.275129	31.353946
-32.781946	-32.033587	32.223450
-30.627818	-29.978057	33.073644
-29.151326	-28.469313	33.907162
-27.607126	-26.962700	34.711786
-25.544711	-25.021273	35.453863
-23.260951	-22.827355	36.108957
-21.147917	-20.731340	36.673696
-19.280001	-18.873891	37.158891
-17.721755	-17.320649	37.571698
-16.421179	-16.039432	37.919197
-15.276499	-14.928109	38.208270
-14.247696	-13.958181	38.438863
-13.292608	-13.036376	38.595316
-12.324624	-12.109148	38.672184
-11.451545	-11.337011	38.697039
-10.783089	-10.709407	38.687216
